Product,Current Price,Orignal Price,Weight in lbs,True Weight,Brand,Producer,State,City,Zip Code,Source,True Amount,Amount in dz,Local,Vendor,VendorAddress
Hy-Vee Blue Ribbon Maple Naturally Smoked Thick Sliced Bacon,8.99,8.99,1.5,24 oz Package,,,,,,Hyvee,,,False,,625 SW US Highway 40 Blue Springs MO 64014
Farmland Naturally Hickory Smoked 30% Less Fat Center Cut Bacon,5.99,5.99,0.75,12 oz,,,,,,Hyvee,,,True,,
Bourbon & Brown Sugar Slab Bacon,5.49,8.99,1.0,1 lb,,,,,,Hyvee,,,False,, Bourbon MO 
Hormel Natural ChoiceOriginal Thick Cut Uncured Bacon,11.49,11.49,1.25,20 oz Package,,,,,,Hyvee,,,True,,
Farmland Naturally Hickory Smoked Double Smoked Classic Cut Bacon,5.99,5.99,1.0,16 oz,,,,,,Hyvee,,,True,,
Des Moines Bacon & Meat Company Hardwood Smoked Uncured Country Bacon,6.99,6.99,0.75,12 oz Package,,,,,,Hyvee,,,False,,21060 19 Mile Rd Big Rapids MI 49307
Hormel Black Label Jalapeno Thick Cut Bacon,7.99,7.99,0.75,12 oz Tray,,,,,,Hyvee,,,True,,
Oscar Mayer Naturally Hardwood Smoked Thick Cut Applewood Bacon,7.48,7.48,1.0,16 oz,,,,,,Hyvee,,,False,, Chapel Hill TN 37034
Des Moines Bacon & Meat Company Applewood Smoked Bacon,6.99,6.99,0.75,12 oz Package,,,,,,Hyvee,,,False,,21060 19 Mile Rd Big Rapids MI 49307
Oscar Mayer Natural Fully Cooked Uncured Bacon,7.49,7.49,0.1575,2.52 oz,,,,,,Hyvee,,,False,,
Hy-Vee Grade A Large Eggs,3.99,4.15,,,,,,,,Hyvee,WIC Eligible,,False,,
Hy-Vee Grade A Large Eggs,5.49,5.49,,,,,,,,Hyvee,18 ct,1.5,False,,
Farmers Hen House Free Range Organic Large Brown Grade A Eggs,5.99,5.99,,,,,,,,Hyvee,12 ct Carton,1.0,False,,
That's Smart! Large Shell Eggs,3.54,3.54,,,,,,,,Hyvee,12 ct,1.0,False,,850 Wolcott St Waterbury CT 06705
Farmers Hen House Free Range Grade A Large Brown Eggs,4.99,4.99,,,,,,,,Hyvee,12 ct Carton,1.0,False,,
Hy-Vee Grade A Extra Large Eggs,5.98,5.98,,,,,,,,Hyvee,18 ct Carton,1.5,False,,
Eggland's Best Classic Large White Eggs,5.98,5.98,,,,,,,,Hyvee,18 ct,1.5,False,,27-31 Upton Road Watford England WD18 0JF
Eggland's Best Classic Large White Eggs,3.99,3.99,,,,,,,,Hyvee,12 ct,1.0,False,,27-31 Upton Road Watford England WD18 0JF
Hy-Vee Free Range Large Brown Egg Grade A,3.99,3.99,,,,,,,,Hyvee,12 ct,1.0,False,,Free Way Gravataí RS 94065-140
Hy-Vee Grade A Jumbo Eggs,4.79,4.79,,,,,,,,Hyvee,12 ct,1.0,False,,
